Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
Fusion Finance,543652,FUSION,INE139R01012,Finance,Microfinance Institutions,177.90,-2.96,-264.90,-12.20,2.57,-54.53,-16.34,4933.62,4.68,20.59,5.42,0.55,1.67,-5.40,1948.40,0.55,-2.28,-4.03,923.42,6.11,1.57,1.99,204.67,0.00,6.11,5.42,1717.77,15.79,-0.75,2319.76,-326.62,49.13,-277.49,11.67,-289.16,843.85,-1133.01,0.00,161.36,0.00,1787.04,5612.96,789.06,7090.44,1081.60,199.72,271.21,586.03,10.66,321.13,-264.90,1447.88,1441.03,74.40,-2213.92,2875.64
Gamco Ltd,540097,,INE890S01026,Finance,Other Financial Services,43.00,6.98,-16.23,2.86,2.01,6.70,-3.00,211.67,-1.72,-63.60,10.90,-0.64,1.03,-112.90,105.21,-0.64,-0.45,32.87,189.71,2.27,2.79,-6.17,-48.81,8.43,2.27,0.56,224.73,-3.41,0.60,61.52,14.77,0.94,15.71,0.35,15.36,7.51,7.85,0.00,10.81,0.00,94.40,17.31,132.81,336.69,203.88,18.71,-7.66,11.83,0.67,-7.63,-16.19,-37.66,-39.86,-13.22,52.72,232.33
Gayatri Projects,532767,GAYAPROJ,INE336H01023,Construction,Civil Construction,18.42,7.99,207.76,4.44,,,123.49,3612.22,5.09,17.07,0.52,12.54,1.08,-3.78,-1440.99,12.54,-4.37,29.16,-2033.99,-2.38,-0.53,3.08,17.14,0.00,-2.38,0.49,792.69,-5.71,0.00,449.92,2.48,184.66,215.32,43.10,172.22,20.15,123.89,-28.18,37.44,0.00,-1478.43,3527.72,100.36,3314.26,2397.85,4608.96,-45.24,18.05,34.47,226.31,2311.81,276.92,274.10,1.39,-69.19,852.15
GEE,504028,,INE064H01021,Electrical Equipment,Other Electrical Equipment,67.99,-1.09,-5.62,-2.91,0.40,-4.65,-1.08,78.92,0.44,70.92,1.30,0.21,1.02,45.35,197.96,0.21,-0.09,-8.54,200.55,1.64,3.90,25.68,82.76,0.00,1.64,0.62,344.95,1.77,0.00,333.84,0.83,0.27,1.09,4.16,-3.07,8.91,-11.97,0.01,10.40,0.00,187.56,81.16,0.23,316.15,140.21,108.01,6.12,9.06,4.16,1.91,-5.62,13.76,12.20,-4.64,-9.19,353.40
Genus Paper & Bo,538961,GENUSPAPER,INE949P01018,"Paper, Forest & Jute Products",Paper & Paper Products,13.71,4.73,9.42,0.27,0.85,0.61,0.37,442.83,6.66,9.70,1.25,1.19,0.36,-7.13,498.93,1.19,-0.54,151.14,747.57,2.17,2.13,8.52,120.82,0.00,2.17,0.57,965.67,8.09,0.00,863.25,68.19,1.77,69.96,28.65,41.31,38.41,2.90,0.00,25.71,23.00,473.22,257.70,145.26,1162.54,370.32,296.64,78.08,42.65,27.68,50.76,9.42,40.84,-23.37,-47.95,-2.23,347.97
GHCL Textiles,543918,GHCLTEXTIL,INE0PA801013,Textiles & Apparels,Other Textile Products,89.46,4.53,56.91,3.35,0.04,3.96,5.95,56.72,8.93,6.64,4.18,18.85,0.69,-313.27,1462.34,18.85,0.10,1.01,1549.36,1.16,3.13,5.28,64.91,8.54,1.16,1.57,1238.52,10.46,0.04,1161.16,110.75,6.96,117.61,50.65,66.96,3.77,63.29,0.10,19.12,0.00,1443.22,63.33,0.00,1709.65,464.15,111.01,129.49,4.29,55.48,80.86,56.91,162.16,4.41,-153.99,-16.25,855.51
GIC Housing Fin,511676,GICHSGFIN,INE289B01019,Finance,Housing Finance Company,155.20,8.73,144.26,1.60,4.52,8.98,25.25,9021.94,8.84,11.16,3.28,1.24,0.77,1.63,1997.56,1.24,-7.88,56.33,161.10,5.41,0.74,-46.91,19.15,15.14,5.41,3.28,1081.20,79.90,0.00,1079.15,927.98,-3.33,937.71,15.01,922.70,703.27,206.37,-13.06,53.85,0.00,1943.71,7226.87,1523.72,11081.36,174.17,53.08,863.87,692.20,12.02,856.24,136.00,-17.80,-20.30,-87.02,122.45,834.93
Global Surfaces,543829,GSLSU,INE0JSX01015,Consumer Durables,Granites & Marbles,59.65,-1.97,-18.61,-5.39,0.71,-9.08,-4.39,211.73,-0.22,25.80,1.46,-0.06,1.04,-2.88,296.41,-0.06,-0.76,-7.32,370.34,1.78,2.03,-8.15,-84.56,0.00,1.78,0.92,245.32,2.32,0.00,207.64,1.93,7.24,8.99,18.66,-9.67,15.44,-24.93,0.18,42.38,0.00,254.03,152.10,47.36,572.83,255.97,174.99,5.70,16.02,18.65,-0.99,-19.48,-31.23,-35.04,-5.99,37.41,254.52
Global Vectra,532773,GLOBALVECT,INE792H01019,Transport Services,Airline,182.00,6.66,-14.07,-0.07,140.88,-2.97,-10.05,635.39,2.08,9.57,0.46,0.53,0.48,3.39,4.51,0.53,-1.70,-977.52,337.74,40.42,0.71,2.60,-22.89,0.00,40.42,0.39,528.84,6.94,0.00,542.20,54.57,51.47,106.00,69.77,36.23,33.03,3.24,0.04,14.00,0.00,-9.49,91.95,369.28,949.32,234.14,505.72,36.71,35.11,73.80,18.45,-14.07,97.81,68.86,58.95,-154.12,254.28
Gloster Ltd,542351,GLOSTERLTD,INE350Z01018,"Paper, Forest & Jute Products",Jute & Jute Products,603.00,1.55,7.61,-0.83,0.70,-1.31,6.95,753.32,6.02,9.94,1.33,1.34,0.50,-3.81,1081.49,1.34,-0.76,-56.43,1450.89,1.61,2.00,-6.71,-897.99,-163.90,1.61,0.76,1326.67,9.11,0.02,734.78,46.70,25.95,72.72,49.75,22.97,24.11,-1.21,-0.07,10.94,0.00,1070.55,523.56,55.91,2205.35,798.83,601.91,120.84,62.96,56.79,84.42,7.61,-99.04,-327.42,-226.91,340.86,664.51
GMR Airports,532754,GMRAIRPORT,INE776C01039,Transport Infrastructure,Airport & Airport services,95.74,6.92,-340.68,-2.92,,,-0.35,41465.23,2.80,24.27,0.79,1.03,7.37,-104.34,-2733.54,1.03,-0.27,-50.76,31270.31,-19.38,3.50,29.38,475.66,0.00,-19.38,0.74,13732.59,38.75,0.09,10414.24,3775.02,1204.77,4381.49,1910.43,2471.06,3704.67,-635.31,598.30,1055.90,12.47,-3789.44,26488.10,11717.12,52090.25,7316.17,9206.27,5321.56,3863.78,1875.88,3963.77,-180.75,3442.56,-580.76,-3673.35,-1009.87,101145.15
GMR Urban,543490,GMRP&UI,INE0CU601026,Power,Power Generation,109.27,13.18,-442.87,-1.73,8.23,,10.57,11588.61,6.98,9.73,1.50,0.81,1.21,4.50,1408.32,0.81,-0.63,7.47,10649.30,31.05,1.79,3.02,-65.05,0.00,31.05,1.40,7065.14,19.82,-4.28,6343.97,1533.57,2227.92,2041.23,599.85,1441.38,1571.01,1590.63,1720.26,357.42,9.70,1050.90,6926.45,3323.13,16614.70,6443.68,4300.81,1400.13,1660.04,637.93,1348.46,776.29,2832.74,2742.08,-156.74,-2417.30,8542.24
Goa Carbon,509567,GOACARBON,INE426D01013,Minerals & Mining,Industrial Minerals,375.40,-2.28,-59.27,-4.19,2.08,-10.32,-64.77,390.64,-6.12,-18.16,1.31,-1.45,0.55,50.20,188.13,-1.45,-0.76,-17.73,164.68,2.63,2.45,-6.38,-14.72,0.00,2.63,0.67,627.49,-6.71,0.00,508.47,-18.79,11.36,-9.40,2.91,-12.31,18.06,-28.40,1.97,9.15,0.00,178.98,281.36,0.00,609.97,554.61,421.83,-42.12,22.38,3.16,-32.51,-59.27,-53.93,-57.08,80.27,-79.53,344.01
Godavari Drugs,530317,,INE362C01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,117.98,10.10,3.50,3.13,1.63,10.57,4.90,73.93,4.59,16.97,1.05,2.13,1.22,533.55,45.39,2.13,-0.31,16.88,76.28,3.20,2.38,10.67,209.61,0.00,3.20,0.62,98.14,10.68,-12.39,113.35,11.82,0.98,12.77,2.45,10.32,4.73,5.62,0.03,7.53,0.00,37.86,49.86,14.49,162.46,88.40,84.42,10.48,4.13,2.48,8.78,3.69,11.20,-8.80,-19.51,8.07,119.48
Godrej Industrie,500164,GODREJIND,INE233A01035,Diversified,Diversified,995.90,7.83,1006.16,2.22,4.48,9.64,29.08,46565.90,7.17,12.81,1.13,2.27,1.65,-6.09,10399.88,2.27,-1.11,25.06,16478.25,7.34,1.06,-6.50,144.70,0.00,7.34,0.40,20322.82,8.21,0.00,19657.41,2104.21,2636.02,4485.75,430.19,4055.56,1956.88,2353.16,254.48,33.68,0.00,10366.20,13894.37,24193.45,109588.15,76784.68,67952.27,1668.13,2328.54,470.86,5295.28,1987.11,-5150.78,-5911.69,-4562.01,10688.83,33481.55
Godrej Propert.,533150,GODREJPROP,INE484J01027,Realty,"Residential, Commercial Projects",1832.00,6.57,1598.39,2.67,0.89,8.98,52.53,16324.41,3.63,26.47,1.33,18.29,14.55,-23.66,18311.06,18.29,-0.15,11.75,18238.43,2.63,2.02,-24.62,261.44,0.00,2.63,0.39,3795.03,-26.06,4.49,4922.84,-74.24,2044.21,1754.94,73.66,1681.28,173.69,1722.62,215.03,150.60,0.00,18160.46,3121.90,9519.50,72164.77,66504.62,49861.98,-988.85,131.21,101.03,2400.38,1573.70,-2242.38,-2449.53,-4272.71,6709.53,55217.14
Goodricke Group,500166,,INE300A01016,Agricultural Food & other Products,Tea & Coffee,171.00,3.22,2.91,1.14,0.37,2.86,8.42,119.52,0.20,24.47,1.39,0.13,0.45,-574.13,321.12,0.13,-0.11,5.96,418.43,2.38,2.84,8.62,45.94,0.00,2.38,0.57,829.28,-0.73,0.00,929.44,19.23,24.83,31.32,19.84,11.48,10.17,14.05,12.74,21.60,0.00,299.52,30.51,46.21,705.78,379.15,272.02,-6.09,7.44,18.35,0.94,18.19,42.85,49.00,9.06,-58.64,369.36
Gourmet Gateway,506134,,INE512D01028,Leisure Services,Restaurants,9.05,4.32,-0.25,-1.12,1.31,-3.12,-0.02,82.34,3.86,6.93,0.48,0.90,0.74,11.62,62.71,0.90,,-31.31,120.70,3.06,2.56,4.84,1141.08,0.00,3.06,0.30,185.63,14.25,0.00,165.74,22.46,3.32,26.40,19.89,6.51,9.26,-3.37,-0.62,15.13,1.53,47.58,0.00,96.43,189.26,26.64,56.07,26.45,9.14,22.48,8.22,-0.66,28.28,17.36,-11.56,-15.66,136.93
Grasim Inds,500300,GRASIM,INE047A01021,Cement & Cement Products,Cement & Cement Products,2776.85,7.50,4611.99,1.69,2.06,3.95,66.20,205403.39,7.31,10.81,0.91,1.94,1.12,-6.42,99617.79,1.94,-0.53,26.48,149783.09,4.68,1.31,-11.01,171.13,18.37,4.68,0.76,168596.89,20.23,0.52,148477.89,28262.19,1516.98,29706.08,6453.73,23252.35,12500.38,10825.06,73.09,136.11,11.00,99481.68,102752.40,83562.16,530102.12,100664.33,110233.75,34113.58,14536.10,7515.57,28232.05,9471.33,-17169.65,-33688.50,-23313.19,42977.89,189015.70
Graviss Hospital,509546,GRAVISSHO,INE214F01026,Leisure Services,Hotels & Resorts,27.70,1.18,-0.76,3.97,0.06,4.70,-0.11,11.64,-0.21,32.19,0.67,-0.53,3.10,27.62,188.99,-0.53,0.18,1.24,204.31,1.15,2.79,62.54,64.62,0.00,1.15,0.61,62.51,8.72,0.00,61.15,7.01,2.02,8.42,6.12,2.30,0.77,2.14,0.61,14.10,0.00,174.89,4.73,6.56,225.62,12.84,19.06,5.45,0.79,6.75,-0.42,-0.76,3.10,0.29,-4.64,2.49,193.87
Gravity (India),532015,,INE995A01013,Textiles & Apparels,Other Textile Products,15.06,-38.20,5.72,-29.62,0.66,-65.58,0.73,2.37,6.27,15.51,1.09,93.88,1.47,-231.84,3.58,93.88,-0.03,-1.18,3.49,3.29,11.93,-301.26,26.11,0.00,3.29,1.09,79.95,8.67,0.06,1.22,-2.73,0.75,-1.98,0.23,-2.21,0.14,-2.35,0.00,9.00,0.00,-5.42,2.76,0.00,25.13,20.94,19.18,6.93,0.08,0.21,7.51,5.72,-0.39,-0.07,0.56,-0.06,117.49
Greenchef Appli.,,GREENCHEF,INE0O7P01015,Consumer Durables,Household Appliances,50.40,6.14,-3.37,2.00,0.77,5.08,-1.45,89.58,0.42,47.54,1.12,0.16,0.31,-7.02,115.99,0.16,-0.59,15.06,138.71,2.47,2.31,3.47,-26.00,0.00,2.47,0.59,381.69,0.95,0.00,360.64,14.61,1.40,16.03,2.48,13.55,5.14,8.39,-0.02,23.27,0.00,92.72,68.82,16.21,329.69,209.66,187.22,3.64,5.41,3.40,0.85,-3.37,33.80,3.54,-30.26,-41.72,117.28
Greenpanel Inds.,542857,GREENPANEL,INE08ZM01014,Consumer Durables,Plywood Boards/ Laminates,209.95,4.48,-1.11,3.58,0.30,5.34,-0.09,412.63,0.52,25.78,1.50,0.50,1.70,-117.57,1385.16,0.50,0.20,5.72,1709.67,1.45,3.64,33.01,250.79,5.10,1.45,0.79,1514.94,6.45,0.00,1435.77,131.21,22.57,153.77,77.42,76.35,6.67,69.69,0.01,12.26,0.00,1372.90,389.81,22.82,2135.90,417.54,277.79,97.73,30.21,96.45,15.10,-1.11,77.80,-109.26,-165.69,82.16,2568.04
Gretex Corporate,543324,GCSL,INE199P01028,Capital Markets,Other Capital Market related Services,349.05,2.70,-3.27,0.81,0.06,0.86,-1.46,7.86,1.10,72.02,6.57,8.28,4.06,-34.88,138.10,8.28,0.06,4.34,143.85,1.16,8.19,-26.64,513.85,55.02,1.16,1.74,203.57,10.25,-2.47,262.19,4.73,3.53,8.26,2.64,5.62,0.58,5.04,0.00,22.64,0.00,115.46,4.50,6.31,230.33,133.89,20.39,20.86,1.07,2.57,8.86,-0.26,-31.05,-34.61,1.65,27.87,827.30
GTL,500160,GTL,INE043A01012,Telecom - Services,Other Telecom Services,7.31,,-14.94,-5.09,,,-0.97,5461.90,0.59,136.26,0.02,0.92,0.49,0.51,-6052.56,0.92,-44.86,-651.78,-5700.07,-0.03,-99.00,0.58,-43.66,0.00,-0.03,0.02,236.03,15.26,0.00,253.88,64.49,7.90,70.84,11.57,59.27,33.85,26.97,1.55,157.30,295.18,-6209.86,1409.92,3933.92,149.55,133.39,5848.67,36.01,35.19,8.10,32.27,-15.29,198.12,186.25,-7.36,-190.75,114.83
GTL Infra.,532775,GTLINFRA,INE221H01019,Telecom - Services,Telecom - Infrastructure,1.24,,-655.20,-20.85,,,-0.51,3428.74,2.95,11.68,0.10,0.16,1.14,3.85,-6387.10,0.16,-0.75,-3.92,-6023.23,-0.70,-3.90,2.48,80.45,0.00,-0.70,0.10,1378.63,24.19,0.00,1344.07,283.08,14.33,304.70,244.05,60.65,928.51,-875.15,-7.29,12809.11,0.00,-19196.21,2872.79,842.62,3895.61,1006.55,9804.29,333.49,782.36,241.85,127.16,-655.20,635.43,609.70,37.29,-255.41,1575.20
GTPL Hathway,540602,GTPL,INE869I01013,Entertainment,TV Broadcasting & Software Production,66.69,3.37,16.08,0.39,0.44,1.39,1.40,502.05,4.81,2.73,0.50,1.47,0.20,19.70,1146.32,1.47,1.30,40.62,1498.16,2.84,1.76,2.08,-51.34,142.72,2.84,0.48,3719.22,10.89,0.00,3719.22,404.92,27.59,432.98,376.12,56.86,38.57,17.82,-0.47,112.46,0.00,1033.86,119.39,193.12,3275.55,781.67,1570.68,404.92,38.57,376.12,56.86,12.36,360.12,63.52,-272.70,-80.65,747.55
GTT Data,530457,,INE959B01017,IT - Software,Computers - Software & Consulting,52.25,-15.35,-11.51,-17.20,0.21,-30.35,-3.03,18.62,-4.00,-174.50,1.41,-4.10,1.82,,88.82,-4.10,,-2.64,96.41,1.48,3.67,-16.98,-102.87,0.00,1.48,1.41,109.38,-1.94,0.00,16.13,-2.59,0.40,-2.19,3.32,-5.51,1.29,-6.80,0.00,41.78,0.00,47.04,0.00,0.12,149.13,63.29,44.84,-2.12,2.06,7.24,-8.45,-11.19,-11.75,-23.21,-20.16,34.15,199.57
Guj Apollo Inds,522217,GUJAPOLLO,INE826C01016,Industrial Manufacturing,Industrial Products,440.60,1.31,-4.64,0.14,0.09,0.16,-3.98,45.45,0.60,64.13,4.09,0.78,9.96,-23.72,491.54,0.78,-0.13,30.92,298.08,1.10,3.33,-36.51,902.40,160.54,1.10,3.62,57.09,-30.06,0.00,41.46,-13.70,28.68,12.00,5.14,6.86,3.69,6.15,2.98,11.80,0.00,479.74,46.01,4.08,561.24,222.74,54.52,-17.16,4.67,5.92,3.64,-4.64,-15.57,-14.05,-13.19,28.57,568.51
Gujarat Alkalies,530001,GUJALKALI,INE186A01019,Chemicals & Petrochemicals,Commodity Chemicals,742.85,-0.34,-8.57,-0.83,0.11,-1.13,-1.17,636.63,1.44,11.70,1.05,1.24,1.27,94.60,5570.39,1.24,0.57,-9.78,4622.72,1.41,2.58,14.31,-273.39,-178.19,1.41,0.69,4308.24,8.50,1.00,4072.91,279.48,92.14,370.38,392.29,-21.91,50.54,-71.21,1.24,73.44,0.00,5496.95,426.57,134.11,8209.48,1316.07,1252.13,366.15,66.11,407.22,81.65,-8.57,381.18,59.40,-264.37,-145.31,5454.07
GVK Power Infra.,532708,GVKPIL,INE251H01024,Construction,Civil Construction,3.18,10.55,-318.54,1.29,,,-6.13,700.77,-29.04,-4.49,0.82,-2.81,3.99,0.50,-1452.79,-2.81,4.82,1.17,31.51,-10.51,-4.00,0.83,-456.29,0.00,-10.51,0.82,124.63,-228.05,0.00,802.16,659.30,640.40,736.29,224.49,511.80,422.94,652.27,563.41,157.92,0.00,-1610.71,290.45,3080.01,582.21,390.15,475.33,-284.22,119.97,77.56,-336.70,-1575.05,598.56,588.86,78.58,-829.87,497.36
H T Media,532662,HTMEDIA,INE501G01024,Media,Print Media,22.35,2.51,43.87,0.10,0.48,0.03,0.01,800.86,8.75,6.17,1.13,1.79,0.27,619.41,1652.35,1.79,2.46,56.40,1143.82,2.41,1.41,9.07,31.30,0.00,2.41,1.06,1873.83,0.37,0.00,1805.63,-32.65,213.44,169.80,98.01,71.79,67.34,15.44,10.99,46.55,0.00,1605.80,133.20,583.74,4007.61,2079.76,1844.46,7.02,61.70,93.44,110.71,11.95,56.56,106.68,169.95,-252.87,513.25
H U D C O,540530,HUDCO,INE031A01017,Finance,Financial Institution,214.92,9.62,2780.80,2.44,7.03,15.67,13.89,126837.58,7.07,14.13,0.99,1.43,3.46,-3.02,18035.29,1.43,-3.50,46.82,87.71,6.18,0.98,-1.36,60.32,30.67,6.18,0.99,12432.53,95.60,0.00,10344.63,10391.00,3.75,10394.23,10.64,10383.59,6747.45,3636.66,0.52,2001.90,0.00,16033.39,12664.71,94632.05,149264.27,2901.43,2917.11,11885.16,8376.65,12.26,11997.34,2780.80,-31602.67,-31623.61,-938.52,32215.38,43008.56
H.G. Infra Engg.,541019,HGINFRA,INE926X01010,Construction,Civil Construction,609.85,16.76,381.72,7.01,1.84,18.28,60.19,5669.11,9.31,9.08,1.45,2.18,0.77,-3.51,3087.05,2.18,-1.62,11.22,4186.06,2.39,1.95,-4.53,42.15,2.58,2.39,1.31,5168.75,19.60,0.00,5056.18,1058.29,31.58,1073.52,144.37,929.15,264.73,680.77,16.35,65.17,0.00,3021.88,4033.15,137.31,10394.40,4192.58,2890.60,1013.24,402.50,157.18,878.62,392.20,-877.67,-2414.85,-1460.68,2310.15,3973.81
Halder Venture,539854,HALDER,INE115S01010,Agricultural Food & other Products,Other Agricultural Products,244.94,16.18,4.06,4.11,2.01,14.76,3.32,298.04,8.46,10.70,1.16,1.73,0.65,-6.68,147.92,1.73,-0.96,14.13,120.33,3.38,2.45,12.81,15.48,1.84,3.38,0.41,493.28,1.60,-0.15,844.39,43.77,27.68,71.78,5.01,66.77,27.00,39.44,-0.33,11.60,0.00,136.32,290.38,7.41,594.02,464.84,400.05,7.88,29.32,5.33,50.64,4.37,24.95,-43.36,-61.84,34.04,319.60
Hardwyn India,541276,HARDWYN,INE626Z01029,Consumer Durables,"Furniture, Home Furnishing",26.20,4.23,11.63,2.47,0.02,2.89,0.24,6.20,1.34,67.34,1.75,19.43,6.80,-959.71,401.18,19.43,,0.55,406.52,1.16,6.06,820.96,715.47,0.00,1.16,0.94,188.35,9.81,0.00,184.13,18.04,0.77,18.81,1.76,17.05,1.20,15.85,0.00,48.84,0.00,352.34,5.41,4.48,482.31,131.75,75.37,18.47,0.89,1.79,17.29,11.63,1.56,0.68,-0.88,-0.39,1280.69
Hathway Cable,533162,HATHWAY,INE982F01036,Entertainment,TV Broadcasting & Software Production,11.10,2.54,82.31,1.60,0.00,1.86,0.47,9.45,6.33,4.22,4.01,119.88,0.91,-11.55,4465.10,119.88,1.60,0.11,3344.56,1.15,2.78,9.87,172.95,0.00,1.15,4.01,2149.58,14.98,0.00,2149.58,321.90,99.73,421.63,308.94,112.69,0.94,111.75,0.00,354.02,0.00,4111.08,0.00,12.60,5182.36,2762.99,689.61,321.90,0.94,308.94,112.69,82.24,198.57,24.73,-209.70,-6.86,1959.49
HCP Plastene,526717,,INE136C01044,Industrial Products,Packaging,241.85,13.24,20.03,5.10,2.96,17.47,18.76,200.61,12.48,7.10,1.15,2.99,0.46,-10.39,67.70,2.99,-1.00,15.04,99.02,4.35,4.03,-13.93,36.78,0.00,4.35,0.89,567.00,9.25,0.00,463.41,35.39,4.69,39.89,7.29,32.60,14.81,17.98,0.19,10.67,0.00,57.03,139.02,51.21,322.02,220.22,191.60,52.42,19.07,7.36,56.98,31.02,-18.53,-18.23,0.81,17.78,258.17
HDB FINANC SER,544429,HDBFS,INE756I01012,Finance,Non Banking Financial Company (NBFC),670.10,9.15,2543.80,2.19,4.80,13.94,30.64,99230.10,6.66,14.71,0.92,1.50,3.02,-4.23,20664.00,1.50,-2.17,39.01,461.40,5.62,1.37,-6.47,74.13,13.06,5.62,0.92,18429.70,56.52,-0.03,18429.70,10415.80,0.00,10415.80,209.30,10206.50,6820.20,3386.30,0.00,830.30,0.00,19833.70,78168.77,9229.00,123651.50,3362.30,3674.40,10415.80,6820.20,209.30,10206.50,2543.80,-8605.60,-8746.50,-1772.00,10673.30,55644.35
HDFC Bank,500180,HDFCBANK,INE040A01034,Banks,Private Sector Bank,789.80,7.04,76025.97,1.70,6.34,13.78,49.39,3688122.84,6.12,16.35,2.22,1.55,3.49,14.69,581514.36,1.55,-1.68,46.56,324063.79,8.00,0.90,10.71,59.74,31.38,8.00,2.22,348615.15,40.38,0.00,348615.15,140785.02,146847.66,287632.68,0.00,287632.68,185491.23,102141.45,0.00,1539.34,0.00,579975.02,634605.57,2710898.23,4908040.84,560549.73,252977.53,140785.02,185491.23,0.00,287632.68,79219.46,113506.38,110143.97,6362.72,-59004.85,1215831.69
Health.Global,539787,HCG,INE075I01017,Healthcare Services,Hospital,576.70,8.56,27.21,1.58,1.92,5.14,1.28,1767.88,2.26,21.69,0.73,1.29,3.48,76.81,920.63,1.29,-0.08,36.20,2249.34,3.38,5.01,27.17,-7363.08,0.00,3.38,0.68,2478.24,18.01,0.44,2218.14,383.63,39.24,423.93,211.34,212.59,154.56,56.97,-1.06,141.01,0.00,779.62,962.12,875.10,3585.60,763.77,1039.80,446.29,178.04,239.43,230.00,25.51,317.11,109.78,-487.75,-42.44,8614.80
HEG,509631,HEG,INE545A01024,Industrial Products,Electrodes & Refractories,663.45,3.96,381.46,2.03,0.14,2.59,19.77,644.45,3.77,18.54,2.41,13.06,5.09,-2161.72,4666.00,13.06,0.17,5.60,3595.57,1.27,5.57,45.73,61.80,30.19,1.27,1.38,2514.73,11.93,0.15,2157.50,255.18,144.98,400.23,200.59,199.64,39.20,160.37,-0.07,38.60,0.00,4627.40,580.14,7.53,5941.46,2770.31,1150.87,300.10,38.50,215.29,502.74,381.46,279.71,102.24,-206.85,-159.15,12791.35
Heranba Inds,543266,HERANBA,INE694N01015,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,227.60,4.39,-60.09,0.14,0.61,0.37,-15.02,512.69,0.46,14.62,1.13,0.13,0.57,-9.68,841.96,0.13,,227.86,902.38,1.96,2.04,8.99,-39.15,130.33,1.96,0.72,1610.28,4.85,0.00,1409.73,97.92,7.58,105.22,56.61,48.61,30.83,18.06,0.28,40.01,0.00,801.95,198.96,149.96,2184.05,1386.40,1229.51,78.03,50.46,88.24,6.35,-60.93,101.30,-136.99,-238.87,151.66,910.32
HFCL,500183,HFCL,INE548A01028,Telecom - Services,Telecom - Infrastructure,106.69,7.55,51.81,2.47,0.38,4.42,0.32,1579.98,1.85,37.59,1.79,1.41,4.16,-85.76,4140.38,1.41,-0.02,9.12,4117.80,1.72,5.02,41.23,167.26,8.13,1.72,1.43,3925.87,10.43,0.00,4064.52,448.99,58.12,507.11,105.51,401.60,185.01,216.59,0.00,153.02,0.00,3987.36,881.91,640.05,7959.47,5669.93,3163.56,409.56,230.34,142.34,325.16,61.69,396.00,-11.54,-518.39,169.58,16328.37
Hikal,524735,HIKAL,INE475B01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,189.35,9.85,25.00,3.61,0.57,7.38,-1.05,683.30,2.85,12.24,1.10,1.30,1.33,50.03,1194.30,1.30,0.07,7.53,1546.20,1.99,3.20,8.31,72.55,10.88,1.99,0.54,1745.60,13.66,0.00,1859.80,328.40,5.00,332.90,134.40,198.50,75.20,123.80,0.50,24.70,0.00,1169.60,630.50,134.20,2349.10,820.30,748.30,238.40,65.40,159.50,85.10,-13.00,280.40,144.00,-136.50,-143.60,2328.92
Himatsing. Seide,514043,HIMATSEIDE,INE049A01027,Textiles & Apparels,Other Textile Products,90.50,9.04,156.59,0.32,1.22,1.00,5.77,2561.24,11.62,6.35,1.43,1.40,0.45,4.11,2104.63,1.40,-1.29,33.68,3450.88,2.81,1.70,4.84,148.56,4.13,2.81,0.94,2554.79,16.93,0.00,2778.20,514.32,-29.71,560.57,151.42,409.15,315.70,17.49,-75.96,62.87,0.00,2041.76,2433.15,134.17,5785.22,3203.90,2247.00,432.60,297.78,147.88,417.47,72.50,235.13,211.52,58.29,-258.22,1137.97
Hind.Composites,509635,HINDCOMPOS,INE310C01029,Auto Components,Auto Components & Equipments,470.95,3.93,33.03,2.68,0.00,2.96,21.06,1.68,6.32,12.48,2.24,156.71,1.86,77.59,1145.32,156.71,1.56,0.05,227.30,1.07,2.63,33.02,59.63,23.72,1.07,1.90,375.01,14.79,0.00,375.01,55.45,-2.50,55.86,11.98,43.88,0.28,40.69,-2.91,7.38,0.00,1137.94,0.03,0.00,1264.43,137.98,61.53,55.45,0.28,11.98,43.88,31.11,21.13,-1.12,-29.51,-4.10,697.71
Hind.Organ.Chem.,500449,,INE048A01011,Chemicals & Petrochemicals,Commodity Chemicals,33.00,-5.20,-57.48,-6.84,0.23,-21.61,73.16,232.38,-25.17,-4.12,3.54,-8.94,0.39,1.22,1020.41,-8.94,1.53,0.59,1165.60,1.50,2.15,0.35,-60.07,0.00,1.50,3.45,574.02,-12.37,0.00,535.87,-86.13,525.93,-63.38,1.64,-65.02,42.86,395.30,503.18,67.27,0.00,953.14,117.60,100.98,1538.87,1301.79,367.41,-70.98,5.77,1.79,-51.57,491.67,631.40,624.17,10.23,-642.18,221.66
